Municipality or First Nation,Store Name,Address,Store Application Status
HANMER,Pop's Cannabis Co. Hanmer,"5118 OLD HIGHWAY 69 N., UNIT 2 ",Authorized to Open
HANMER ,HIGHLIFE CANNABIS HANMER EXPRESS,5085 OLD HWY 69,Authorized to Open
HANNON,One Plant,2172 RYMAL RD E UNIT E1,Authorized to Open
HANOVER,Canna Cabana,880 10TH ST UNIT 105,Authorized to Open
HANOVER,Rooted Zen Cannabis Co.,209 10TH ST,Authorized to Open
HANOVER,Tokyo Smoke Hanover,937 10TH ST UNIT B1,Authorized to Open
HANOVER,True North Cannabis Co. ,513 11TH AVE,Authorized to Open
HANOVER,VIP Cannabis Company,302 10TH ST,Authorized to Open
HARRISTON,VIP Cannabis Company,29 ELORA ST S,Authorized to Open
HARROW,RC BUD SHOP,6 KING STREET,Authorized to Open
HARROWSMITH,FOREST PLANT,4916 ROAD 38 SUITE 4,Authorized to Open
HAVELOCK,Sunfish Cannabis Trainstation,"30 OTTAWA STREET, EAST UNIT",Authorized to Open
HAVELOCK,THE CANNABIS FOREST,2 OTTAWA STREET WEST UNIT B,Authorized to Open
HAWKESBURY,BLUEBIRD CANNABIS EXPRESS - HAWKESBURY,792 MAIN ST E UNIT A,Authorized to Open
HAWKESBURY,CONNOISSEUR CULTURE,30 MAIN ST E SUITE 88,Authorized to Open
HAWKESBURY,One Plant,454 COUNTY RD 17 SUITE 140,Authorized to Open
HAWKESBURY,Pop's Cannabis Co. Hawkesbury,400 SPENCE AVE UNIT 101,Authorized to Open
HAWKESBURY,Shinybud Cannabis Co. 1500 Main,1500 MAIN ST E,Authorized to Open
HAWKESBURY,SHINYBUD CANNABIS CO. 299 MAIN,299 MAIN ST E,Authorized to Open
HEARST,Evergreen Leaf,631 FRONT STREET UNIT#01,Authorized to Open
HEARST,T CANNABIS NW,3 15TH ST UNIT 5,Authorized to Open
HILLSDALE,CANNABIS XPRESS,4570 PENETANGUISHENE RD,Authorized to Open
HUNTSVILLE,Kasa Kana Hunstville,6 KING WILLIAM ST,Authorized to Open
HUNTSVILLE,Kelly's Cannabis,36 KING WILLIAM ST,Authorized to Open
HUNTSVILLE,Muskoka Cannabis Store Huntsville,92 KING WILLIAM ST,Authorized to Open
HUNTSVILLE,PUFFIN’S CANNABIS,96 MAIN ST E UNIT E,Authorized to Open
HUNTSVILLE,True North Cannabis Co.,30 MAIN ST E,Authorized to Open
IGNACE,Toke House,105 MAIN ST HWY 17 UNIT 1,Authorized to Open
INGLESIDE,Shinybud Cannabis Co. Ingleside,21 THOROLD LANE,Authorized to Open
INNISFIL,CANNA CABANA,1491 INNISFIL BEACH RD SUITE 6,Authorized to Open
INNISFIL,Innisfil Cannabis,876 INNISFIL BEACH RD,Public Notice Period: Ended 2021/01/01
INNISFIL,Star Buds Cannabis Co.,"813 INNISFIL BEACH ROAD, UNIT 1",Authorized to Open
IROQUOIS FALLS,Blazeco Cannabis,231 AMBRIDGE DRIVE,Authorized to Open
JACKSONS POINT,Haze Buds Cannabis,2100 METRO RD N UNIT 5,Authorized to Open
KAKABEKA FALLS,Green Mantle Cannabis,4744 HIGHWAY 11/17 BUILDING THREE,Authorized to Open
KANATA,BLUEBIRD CANNABIS CO.,499 TERRY FOX DR UNIT 60,Authorized to Open
KANATA,BLUEBIRD CANNABIS MARCH ROAD,806 MARCH RD,Authorized to Open
KANATA,Canatime ,484 HAZELDEAN RD UNIT G6A,Authorized to Open
KANATA,Canna Cabana,836 MARCH ROAD UNIT B1,Authorized to Open
KANATA,Canna Cabana,457 HAZELDEAN RD UNIT 5,Public Notice Period: Ended 2023/07/18
KANATA,High Lite Cannabis Store,11 KAKULU RD,Authorized to Open
KANATA,HURBN CANNABIS COMPANY,767 SILVER SEVEN RD UNIT 26,Authorized to Open
KANATA,Roll'd Cannabis Company,500 HAZELDEAN RD SUITE 105,Authorized to Open
KANATA,shinybud cannabis co. 420 Kanata ,420 HAZELDEAN RD UNIT 8,Authorized to Open
KANATA,Tokyo Smoke Kanata Centrum,300 EARL GREY DR UNIT A18,Authorized to Open
KANATA,Unplug Cannabis Co.,4055 CARLING AVE UNIT 4,Authorized to Open
KANATA,Zephyr Cannabis,415C HAZELDEAN RD,Authorized to Open
KAPUSKASING,OFF THE STEM,24B CIRCLE ST,Authorized to Open
KAPUSKASING,Pop's Cannabis Co. Kapuskasing,25 BRUNETVILLE RD UNIT B1,Authorized to Open
KAPUSKASING,True North Cannabis Co.,18 CIRCLE ST,Authorized to Open
KEMPTVILLE,Creekside Greens,19 REUBEN CRES,Authorized to Open
KEMPTVILLE,DREAM CANNABIS,202-3000 WELLINGTON ROAD,Authorized to Open
KEMPTVILLE,SPIRITLEAF KEMPTVILLE,304 COLONNADE DR UNIT 300,Authorized to Open
KEMPTVILLE ,SHINYBUD CANNABIS CO. 2600 KEMPTVILLE,2600 COUNTY ROAD 43 UNIT 32D,Authorized to Open
KENORA,Lake of the Woods Cannabis,109 1/2 MAIN ST S,Authorized to Open
KENORA,LAKE OF THE WOODS CANNABIS,809 RIVER DR,Authorized to Open
KENORA,T CANNABIS NW - Kenora,400 SECOND ST S ,Authorized to Open
KESWICK,Levicann,488 THE QUEENSWAY S,Authorized to Open
KESWICK,Lit Cannabis,155 RIVERGLEN DR UNIT 11,Authorized to Open
KESWICK,One Plant Keswick,76 ARLINGTON DR UNIT 8,Authorized to Open
KESWICK,SESSIONS CANNABIS KESWICK,443 THE QUEENSWAY S UNIT 27,Authorized to Open
KESWICK,The House of Cannabis - Keswick,1 CHURCH ST SUITE 9,Authorized to Open
KESWICK,YOUR LOCAL CANNABIS,213 THE QUEENSWAY S UNIT 12,Authorized to Open
KINCARDINE,NUCLEAR LETTUCE,855A QUEEN ST,Authorized to Open
KINCARDINE,SESSIONS CANNABIS - KINCARDINE,728 QUEEN ST,Authorized to Open
KINGSTON,710 Kingston,1057 MIDLAND AVE,Authorized to Open
KINGSTON,710 Kingston ,471 PRINCESS ST,Authorized to Open
KINGSTON,Calyx + Trichomes,1105 MIDLAND AVE UNITS 4 - 5,Authorized to Open
KINGSTON,CALYX + TRICHOMES CANNABIS,1206 HIGHWAY 15 SUITE 6,Authorized to Open
KINGSTON,Cannabis Bazaar,1126 SYDENHAM RD,Authorized to Open
KINGSTON,FIRE & FLOWER CANNABIS CO.,75 BROCK ST,Authorized to Open
KINGSTON,Giggles Cannabis,652 PRINCESS ST SUITE 108,Authorized to Open
KINGSTON,Inspired Cannabis Co,246 PRINCESS ST,Authorized to Open
KINGSTON,KINGSTON CANNABIS INC.,545 MONTREAL ST UNIT 1,Authorized to Open
KINGSTON,Mary J's Cannabis,154 DIVISION ST,Authorized to Open
KINGSTON,MC CANNABIS,1100 PRINCESS ST UNIT E101,Authorized to Open
KINGSTON,Northern Helm Cannabis,225 GORE RD UNIT 2,Authorized to Open
KINGSTON,One Plant Kingston,770 GARDINERS RD UNIT A005,Authorized to Open
KINGSTON,ShinyBud Cannabis Co. 83 Aberfoyle,83 ABERFOYLE RD UNIT 3,Authorized to Open
KINGSTON,Spiritleaf Kingston,27 PRINCESS ST SUITE 101,Authorized to Open
KINGSTON,THE HERBARY,1650 BATH RD,Authorized to Open
KINGSTON,TOKYO SMOKE KINGSTON,1011 PRINCESS ST,Authorized to Open
KINGSTON,Tokyo Smoke Princess Street,2790 PRINCESS ST,Authorized to Open
KINGSTON ,Tweed,500 GARDINERS ROAD UNIT 2B ,Public Notice Period: Ended 2021/04/23
KINGSVILLE,Discounted Cannabis,9 MAIN ST E,Authorized to Open
KINGSVILLE,Tony’s Joint,410 MAIN ST. EAST UNIT 7 ,Authorized to Open
KIRKLAND LAKE,POP’S CANNABIS CO. KIRKLAND LAKE,150 GOVERNMENT RD W UNIT 260,Authorized to Open
KIRKLAND LAKE,Rozbudz,54 GOVERNMENT RD W UNIT A,Authorized to Open
KIRKLAND LAKE,T CANNABIS NW - Kirkland Lake,59 GOVERNMENT RD W,Authorized to Open
KITCHENER,86 King Street W Cannabis,86 KING ST W,Public Notice Period: Ended 2022/04/19
KITCHENER,ADOREWEED,277 LANCASTER ST W UNIT 2,Authorized to Open
KITCHENER,Canna Cabana,1375 WEBER ST E UNIT 111,Authorized to Open
KITCHENER,Canna Cabana,569 FAIRWAY RD S UNIT H3,Authorized to Open
KITCHENER,Canna Cabana ,235 IRA NEEDLES BLVD SUITE C2,Authorized to Open
KITCHENER,Cannabis Supply Co.,1400 WEBER ST E,Authorized to Open
KITCHENER,Cannaverse,1190 FISCHER HALLMAN RD,Authorized to Open
KITCHENER,Chronicles Cannabis Inc,1 QUEEN ST N SUITE 102,Authorized to Open
KITCHENER,DAB GLASS,685 FISCHER HALLMAN RD SUITE M,Authorized to Open
KITCHENER,DAB GLASS,509 WILSON AVE SUITE 6,Authorized to Open
KITCHENER,Fika Local Fairview Park,2960 KINGSWAY DR UNIT G007,Authorized to Open
KITCHENER,Four20 Premium Market,123 PIONEER DR UNIT F2,Authorized to Open
KITCHENER,GANJA GARDEN,2399 KINGSWAY DR UNIT 5,Authorized to Open
KITCHENER,GIGGLES CANNABIS,32 DUKE ST E UNIT 104,Public Notice Period: Ended 2021/05/06
KITCHENER,Harvest Cannabis Co,376 VICTORIA ST N UNIT 5A,Authorized to Open
KITCHENER,HIGHLAND CANNABIS,370 HIGHLAND RD W UNIT 15B,Authorized to Open
KITCHENER,Piffingtons Cannabis Co.,200 LORRAINE AVE UNIT 3A,Authorized to Open
KITCHENER,PUR CANNABIS-KING W,147 KING ST W,Authorized to Open
KITCHENER,Sativa Bliss Cannabis Boutique,57 QUEEN ST SOUTH,Authorized to Open
KITCHENER,SESSIONS CANNABIS,525 HIGHLAND RD W UNIT 5,Authorized to Open
KITCHENER,Sessions Cannabis - Homer Watson,2480 HOMER WATSON BLVD,Authorized to Open
KITCHENER,Spiritleaf Sunrise,1400 OTTAWA ST S UNIT B7,Authorized to Open
KITCHENER,Stash & Co.,95 KING ST W UNIT 100,Authorized to Open
KITCHENER,The Bridgeport Cannabis Co.,8 BLOOMINGDALE RD N UNIT 4,Authorized to Open
KITCHENER,THE CANNABIST SHOP,1283 VICTORIA ST N,Authorized to Open
KITCHENER,The Cannabist Shop - King,201 KING ST W,Authorized to Open
KITCHENER,THE CANNABIST SHOP - MANITOU,5 MANITOU DR SUITE 104,Authorized to Open
KITCHENER,THE CANNABIST SHOP – KING E,325 KING ST E,Public Notice Period: Ended 2021/10/04
KITCHENER,The Green Room - King W,109 KING ST W,Public Notice Period: Ended 2021/09/11
KITCHENER,Tokyo Smoke Waterloo Boardwalk,200 THE BOARDWALK SUITE 2,Authorized to Open
KITCHENER,True North Cannabis Co. ,4396 KING ST E UNIT 1,Authorized to Open
KITCHENER,Tweed,300 BLEAMS RD,In Progress
KITCHENER,Zen Cannabis,280 VICTORIA ST N UNIT 4,Authorized to Open
KOMOKA,Inspired Cannabis Co,10166 GLENDON DR UNIT 204,Authorized to Open
LAKEFIELD,SunFish Cannabis,"112 QUEEN ST, UNIT #2",Authorized to Open
LAKESHORE,SESSIONS LAKESHORE,35 AMY CROFT DR UNIT 5,Authorized to Open
LANCASTER,Highties Cannabis Store,184 MILITARY RD,Authorized to Open
LANSDOWNE,VILLAGE BUD ,1136 PRINCE STREET,Authorized to Open
LASALLE,BRO CANNABIS INC.,2596 FRONT RD UNIT 1,Authorized to Open
LASALLE,Discounted Cannabis,410 FRONT RD UNIT 2,Authorized to Open
LASALLE,Greentown,5994 MALDEN RD UNIT 3,Authorized to Open
LASALLE,The Cannabis Retail Store ,5841 MALDEN RD UNIT 122,Authorized to Open
LASALLE,The LaSalle Cannabis Company,791 FRONT RD UNIT B2,Authorized to Open
LASALLE,Tokyo Smoke,5844 MALDEN RD UNIT 120,Authorized to Open
LEAMINGTON,Discounted Cannabis,282 ERIE ST S UNIT A,Authorized to Open
LEAMINGTON,The Cannabis Retail Store,280-304 ERIE ST S UNIT 4,Authorized to Open
LEAMINGTON,Tony’s Joint,256 TALBOT ST W,Authorized to Open
LEAMINGTON,TRUE NORTH CANNABIS CO.,11 ERIE ST S SUITE 3,Authorized to Open
LINDSAY,Docks,86 KENT ST W,Authorized to Open
LINDSAY,GreenLeaf Cannabis,351 KENT ST W UNIT 1,Authorized to Open
LINDSAY,Leaflit,55 KENT ST W,Authorized to Open
LINDSAY,Lindsay Cannabis Store,17 KENT ST W,Authorized to Open
LINDSAY,The 420 Store,370 KENT ST W,Authorized to Open
LISTOWEL,The Green Cloud Cannabis ,102 MAIN ST E UNIT B,Authorized to Open
LISTOWEL,True North Cannabis Co.,780 WALLACE AVE N,Authorized to Open
LIVELY,HIGHLIFE CANNABIS LIVELY EXPRESS,135 REGIONAL RD 24 UNIT 16,Authorized to Open
LONDON,Area 420,226 DUNDAS ST,Authorized to Open
LONDON,Benkz Budz ,699 WILKINS ST UNIT 17,Authorized to Open
LONDON,Canna Cabana ,595 FANSHAWE PARK RD W UNIT C01102A,Authorized to Open
LONDON,CANNA CABANA LONDON,760 HYDE PARK RD UNIT 7B,Authorized to Open
LONDON,Cannabis Link,1295 HIGHBURY AVE N UNIT A6B,Authorized to Open
LONDON,Cannabis Link,509 COMMISSIONERS RD W UNIT A35,Authorized to Open
LONDON,Cannabis Link,390 SPRINGBANK DR UNIT 10B,Authorized to Open
LONDON,Cannabis Link,1175 HYDE PARK RD UNIT 2B,Authorized to Open
LONDON,CANNABIS LINK ,1225 WONDERLAND RD N UNIT 40A,Authorized to Open
LONDON,Cannabis Link Express,1149 WESTERN RD UNIT 2,Authorized to Open
LONDON,CLOUD 29 RICHMOND,660 RICHMOND ST UNIT 6,Authorized to Open
LONDON,Cloud Nine Cannabis,292 DUNDAS ST,Authorized to Open
LONDON,Cosmic Cabbage,649 RICHMOND ST,Public Notice Period: Ended 2021/08/11
LONDON,Da Canna,423 HAMILTON RD UNIT A,Authorized to Open
LONDON,FAMOUS FLOWER CANNABIS CO.,1777 DUNDAS ST UNIT A2,Authorized to Open
LONDON,FAMOUS FLOWER CANNABIS CO.,972 HAMILTON RD SUITE 14,Authorized to Open
LONDON,FAMOUS FLOWER CANNABIS CO.,458 SOUTHDALE RD E UNIT 3,Authorized to Open
LONDON,FIKA LOCAL CANNABIS,1965 HYDE PARK RD UNIT 104A,Authorized to Open
LONDON,FIKA LOCAL CANNABIS,340 CLARKE RD UNIT 3,Authorized to Open
LONDON,Forest City Marijuana,1470 DUNDAS ST,Authorized to Open
LONDON,Forest City Marijuana,100 BELMONT DR UNIT 4B,Authorized to Open
LONDON,Forest City Marijuana,1009 WONDERLAND RD S UNIT 2,In Progress
LONDON,Greenlight District,1905 DUNDAS ST E UNIT B2,Authorized to Open
LONDON,HELLO CANNABIS YORK ST ,73 YORK ST,Authorized to Open
LONDON,HOLY CANNABIS,1080 ADELAIDE ST N SUITE 9,Authorized to Open
LONDON,Holy Cannabis,25 OXFORD ST W UNIT 109,Authorized to Open
LONDON,HOLY CANNABIS,785 HAMILTON RD,Public Notice Period: Ended 2023/10/15
LONDON,I Love Smoke 420 ,1775 ERNEST AVE UNIT 1,Public Notice Period: Ended 2023/05/04
LONDON,KANNABIS KING,1066 ADELAIDE ST N UNIT 4,Authorized to Open
LONDON,Lit Cannabis ,1440 JALNA BLVD UNIT 4,Authorized to Open
LONDON,Lux Smoke Vape/Cafe,467 WHARNCLIFFE RD S,Authorized to Open
LONDON,Main Street Cannabis Co.,2386 MAIN ST UNIT 1 ,Authorized to Open
LONDON,Miss Jones,765 EXETER RD UNIT C64,Authorized to Open
LONDON,Neat Cannabis Company,590 OXFORD ST E UNIT B,Authorized to Open
LONDON,One Plant,94 FANSHAWE PARK RD E UNIT 6,Authorized to Open
LONDON,One Plant,3030 WONDERLAND RD S,Authorized to Open
LONDON,Paramount Cannabis Co.,1970 HYDE PARK RD SUITE 1A,Authorized to Open
LONDON,Rightpuff Cannabis,919 COMMISSIONERS RD E SUITE 3,Authorized to Open
LONDON,SESSIONS CANNABIS,395 WELLINGTON RD UNIT 15,Authorized to Open
LONDON,SESSIONS CANNABIS STONEY CREEK LONDON,1830 ADELAIDE ST N UNIT 5,Authorized to Open
LONDON,SPIRITLEAF,109 FANSHAWE PARK RD E UNIT 9,Authorized to Open
LONDON,SPIRITLEAF 979 WELLINGTON ROAD,979 WELLINGTON RD SUITE 106A,Authorized to Open
LONDON,STASH AND CO.,215 DUNDAS ST UNIT L1 & 01,Authorized to Open
LONDON,THE CANNABIST SHOP - RICHMOND,533 RICHMOND ST,Authorized to Open
LONDON,THE CANNABIST SHOP - WHARNCLIFFE,62 WHARNCLIFFE RD N,Public Notice Period: Ended 2021/08/28
LONDON,The Dime on Wortley,162 WORTLEY RD UNIT 1C,Authorized to Open
LONDON,THE HERBARY,1120 WELLINGTON RD UNIT 4,Authorized to Open
LONDON,The Hunny Pot Cannabis Co,3010 COLONEL TALBOT RD SUITE 1,Public Notice Period: Ended 2021/10/14
LONDON,TOKYO SMOKE,666 WONDERLAND RD N UNIT 6B,Authorized to Open
LONDON,Tokyo Smoke,1240 COMMISSIONERS RD W UNIT 111,Authorized to Open
LONDON,Tokyo Smoke,645 COMMISSIONERS RD E UNIT 103,Authorized to Open
LONDON,Tree Tops Cannabis Co.,1070 WELLINGTON RD UNIT 17,Authorized to Open
LONDON,Tree Tops Cannabis Co.,1255 KILALLY RD. UNIT 106 ,Authorized to Open
LONDON,TWEED,"1025 WELLINGTON ROAD, UNIT A-2",Authorized to Open
LONDON,Value Buds,1631 OXFORD ST E SUITE 4,Authorized to Open
LONDON,Value Buds,450 WHARNCLIFFE RD S,Authorized to Open
LONDON,Value Buds,1030 ADELAIDE ST N UNIT 9B,Authorized to Open
LONDON,Your Highness Cannabis,744 RICHMOND ST,Authorized to Open
LONDON ,Sticky Nuggz London Wellington Inc.,354 WELLINGTON ST UNIT B,Public Notice Period: Ended 2022/04/11
LONDON ,VIP Cannabis Company,1984 DUNDAS ST E UNIT A1,Authorized to Open
LONGBOW LAKE,REDDEN’S JUNCTION CANNABIS,"4433 HIGHWAY, 17 EAST",Authorized to Open
LONGLAC,EVERGREEN LEAF,122 QUEEN STREET,Authorized to Open
LUCAN,Chill Cannabis,174 MAIN ST,Authorized to Open
LUCKNOW,Budzrus Lucknow,638 CAMPBELL ST,In Progress
MADOC,Olympia Cannabis Madoc (O/C Madoc),15 DURHAM ST S UNIT 1,Authorized to Open
MALLORYTOWN,Arbud,74 QUABBIN RD,Public Notice Period: Ended 2021/05/14
MANOTICK,Blue Haven Cannabis,990 RIVER RD UNIT 8,Authorized to Open
MARATHON,COST CANNABIS,20 PENINSULA RD UNIT 7,Authorized to Open
MARATHON,HIGH SOCIETY CANNABIS CO.,13 STEVENS AVENUE,Authorized to Open
MARATHON,J. Supply Co. Marathon,4 STEVENS AVENUE,Public Notice Period: Ended 2021/10/23
MARKDALE,Canna Cabana,155 TORONTO ST N,Authorized to Open
MARKDALE,Cannabis Stop Inc ,2 TORONTO ST S,Authorized to Open
MATTAWA,BUDSSMOKE,298 MAIN ST UNIT A,Authorized to Open
MEAFORD,Value Buds,100 SYKES ST N,Authorized to Open
MERRICKVILLE,ZEPHYR CANNABIS,629 ST LAWRENCE ST,Authorized to Open
MIDHURST,Budtimez,1179 BAYFIELD ST N,Authorized to Open
MIDLAND,Friendly Stranger,542 BAY ST,Authorized to Open
MIDLAND,Paramount Cannabis Co.,9319 93 HWY UNIT 2,Authorized to Open
MIDLAND,Speakeasy Cannabis Midland,9225 93 HWY UNIT 16,Authorized to Open
MIDLAND,TOKE,262 KING ST,Authorized to Open
MIDLAND,True North Cannabis Co.,212 KING ST UNIT 1,Authorized to Open
MILLBROOK,Sparq Retail,40 KING ST E,Authorized to Open
MILTON,BUD'S CANNABIS STORE,300 MAIN ST E,Authorized to Open
MILTON,CANNA CABANA,1155 MAPLE AVE UNIT F014,Authorized to Open
MILTON,Culture Rising,1248 MAIN ST E,Authorized to Open
MILTON,Piffingtons Cannabis Co,100 BRONTE ST S UNIT 4,Authorized to Open
MILTON,Taste Buds Cannabis,26 MAIN ST E UNIT B,Authorized to Open
MILTON,THE HUNNY POT CANNABIS CO.,101 JAMES SNOW PKY N UNIT#6 & 7,Authorized to Open
MILTON,Tokyo Smoke Milton,890 MAIN ST E UNIT 8,Authorized to Open
MILTON,TREETOP,150 NIPISSING RD UNIT 3,Authorized to Open
MILTON ,FIKA LOCAL CANNABIS,1290 STEELES AVENUE EAST UNIT C3.3,Authorized to Open
MINDEN,Capturing Eden,12818 HIGHWAY 35,Authorized to Open
MINDEN,EIGHTH CANNABIS,10 BOBCAYGEON ROAD,Authorized to Open
MISSISSAUGA,Above The Clouds Cannabis,553 LAKESHORE RD E,Public Notice: Ends on 2023/12/01
MISSISSAUGA,Buzzed Buds,1375 SOUTHDOWN RD UNIT 6,Authorized to Open
MISSISSAUGA,Canna Cabana,1891 RATHBURN RD E UNIT 7B,Public Notice Period: Ended 2023/10/13
MISSISSAUGA,Canna Cabana,925 RATHBURN RD E UNIT B4A,Public Notice Period: Ended 2023/10/06
MISSISSAUGA,Canna Cabana,2090 HURONTARIO ST UNIT 4,In Progress
MISSISSAUGA,Canna Cabana,5700 MAVIS RD UNIT 5,Public Notice Period: Ended 2023/08/22
MISSISSAUGA,Canna Cabana,4141 DIXIE RD UNIT PH2-2,Public Notice Period: Ended 2023/10/13
MISSISSAUGA,Canna Cabana,2901 EGLINTON AVE W UNIT 7,Public Notice Period: Ended 2023/11/09
MISSISSAUGA,Cannabis City,"55 DUNDAS ST E, UNIT 5 & 6",Authorized to Open
MISSISSAUGA,CANNABIS ESTATES,618 LAKESHORE RD E,Public Notice Period: Ended 2023/10/05
MISSISSAUGA,Cannabis Hut ,6 HELENE ST N,Authorized to Open
MISSISSAUGA,Cannabis Place,2555 HURONTARIO ST,Authorized to Open
MISSISSAUGA,Cantopia Cannabis Co.,6400 MILLCREEK DR UNIT 14,Authorized to Open
MISSISSAUGA,COST CANNABIS,918 DUNDAS ST E UNIT B,Public Notice: Ends on 2023/11/24
MISSISSAUGA,CROWN LEAF,3355 HURONTARIO ST SUITE 6A,Authorized to Open
MISSISSAUGA,FIKA Local Cannabis,2955 HAZELTON PL UNIT 29,Authorized to Open
MISSISSAUGA,Flowertown Cannabis,2425 TRUSCOTT DR SUITE 6,Authorized to Open
MISSISSAUGA,Hibuzz Cannabis,30 EGLINTON AVE W,Public Notice Period: Ended 2023/10/18
MISSISSAUGA,MOONWLKR CANNABIS,3515 ODYSSEY DR SUITE 57,Authorized to Open
MISSISSAUGA,Pop's Cannabis Co.,960 SOUTHDOWN RD SUITE C7,Authorized to Open
MISSISSAUGA,Pop's Cannabis Co.,1125 BLOOR ST E SUITE 13,Authorized to Open
MISSISSAUGA,Pop's Cannabis Co.,3221 DERRY RD W UNIT 10,Authorized to Open
MISSISSAUGA,Pop's Cannabis Co.,801 DUNDAS STREET EAST UNIT D1-D2,In Progress
MISSISSAUGA,Potherb Cannabis,2800 SKYMARK AVE UNIT 12,Authorized to Open
MISSISSAUGA,Purple Tree Cannabis,1077 NORTH SERVICE RD UNIT 12,Authorized to Open
MISSISSAUGA,Runway Pot,2567 HURONTARIO ST,Authorized to Open
MISSISSAUGA,Sacred Grass Cannabis Dispensary,3405 SOUTH MILLWAY UNIT 4,In Progress
MISSISSAUGA,Sativa Bliss Cannabis Boutique,3460 PLATINUM DR UNIT 23,Public Notice Period: Ended 2023/07/15
MISSISSAUGA,Silverleaf Cannabis,628-630 BLOOR ST,Public Notice Period: Ended 2023/11/03
MISSISSAUGA,Soma Leaf Co.,280 LAKESHORE RD W UNIT 101,Authorized to Open
MISSISSAUGA,Spot420 The Cannabis Store,2180 CREDIT VALLEY RD UNIT 102,Public Notice Period: Ended 2023/11/17
MISSISSAUGA,The Farmhouse Cannabis Co.,279 LAKESHORE RD E,Public Notice Period: Ended 2023/10/16
MISSISSAUGA,The Hunny Pot Cannabis Co.,3476 GLEN ERIN DR UNIT 7,Authorized to Open
MISSISSAUGA,The Hunny Pot Cannabis Co.,980 BURNHAMTHORPE RD E,Authorized to Open
MISSISSAUGA,The Hunny Pot Cannabis Co.,2500 HURONTARIO ST UNIT 14,Authorized to Open
MISSISSAUGA,The Woods Cannabis,3145 DUNDAS ST W UNIT 11A,Public Notice Period: Ended 2023/06/29
MISSISSAUGA,The Woods Cannabis,660 EGLINTON AVE W UNIT 7,Public Notice Period: Ended 2023/08/18
MISSISSAUGA,Tough Bud Cannabis,296 LAKESHORE RD W,Authorized to Open
MISSISSAUGA,True North Cannabis Co.,1370 DUNDAS ST E SUITE 7,Authorized to Open
MISSISSAUGA,WE'D Cannabis,2400 DUNDAS ST W UNIT 14,Public Notice Period: Ended 2023/07/26
MISSISSAUGA,WOW WORLD OF WEED,983 LAKESHORE RD E,Authorized to Open
MISSISSAUGA,WOW WORLD OF WEED INC ,1900 DUNDAS ST W UNIT B29A,Public Notice Period: Ended 2023/11/10
MITCHELL,HIGH HOPES CANNABIS,53 MONTREAL ST,Authorized to Open
MITCHELL,Leaf & Embers,24 ONTARIO RD,Authorized to Open
MITCHELL,VIP Cannabis Company,46 ONTARIO RD,Authorized to Open
MOOSONEE,T CANNABIS,158 FERGUSON RD,Public Notice Period: Ended 2023/09/26
MORRISBURG,ShinyBud Cannabis Co. 12467 Morrisburg,"12467 COUNTY RD 2, UNIT B",Authorized to Open
MORRISBURG,The Oz Store,89 MAIN ST,Authorized to Open
MORRISTON,Welcome Cannabis ,3 BADENOCH ST,Authorized to Open
MOUNT BRYDGES,High Cannabis 22534,22534 ADELAIDE RD UNIT 2,Public Notice: Ends on 2023/12/01
MOUNT FOREST,FRATELLI AND CO,514 MAIN ST N,Authorized to Open
MOUNT FOREST,Pop's Cannabis Co. Mt. Forest ,286 MAIN ST S UNIT C,Authorized to Open
NAPANEE,GREENHEART FLOWERS,425 CAMDEN RD UNIT 2,Public Notice Period: Ended 2021/10/19
NAPANEE,The Smoke and Leaf Ltd.,824 PALACE RD UNIT 5,Authorized to Open
NAPANEE,The Smoke and Leaf Ltd.,8 DUNDAS ST W,Authorized to Open
NAPANEE,True North Cannabis Co. ,7 MARKET SQ,Authorized to Open
NEPEAN,Bluebird Cannabis Roydon Store,3 ROYDON PL UNIT 3,Authorized to Open
NEPEAN,Cannaverse,1465 MERIVALE RD UNIT B5,Authorized to Open
NEPEAN,Cannaverse,3090 CARLING AVE UNIT 5A,Authorized to Open
NEPEAN,DREAM CANNABIS  ,250 GREENBANK RD UNIT 1B,Authorized to Open
NEPEAN,Go Green Cannabis Co,3802-3812 GREENBANK RD UNIT 4,Authorized to Open
NEPEAN,Highties Cannabis Store,3023 CEDARVIEW RD UNIT 4,Authorized to Open
NEPEAN,ONE PLANT,1363 WOODROFFE AVE SUITE D,Authorized to Open
NEPEAN,One Plant Barrhaven,"4335 STRANDHERD DR UNIT 3,4,5",Authorized to Open
NEPEAN,Ouid,34 HIGHBURY PARK DR,Authorized to Open
NEPEAN,PURE LEAF CANNABIS,2027 ROBERTSON RD,Authorized to Open
NEPEAN,Purple Meadow Cannabis,900 GREENBANK RD UNIT J,Authorized to Open
NEPEAN,Royal Cannabis Haus,22 NORTHSIDE RD,Authorized to Open
NEPEAN,Smiley's Cannabis,3780 FALLOWFIELD RD UNIT 7,Authorized to Open
NEPEAN,SPIRITLEAF - CROSS ROADS,529 WEST HUNT CLUB RD,Authorized to Open
NEPEAN,SPIRITLEAF 2150 ROBERTSON ROAD,2150 ROBERTSON ROAD UNIT B2,Authorized to Open
NEPEAN,SPIRITLEAF 2150 ROBERTSON ROAD,2150 ROBERTSON ROAD UNIT B2,In Progress
NEPEAN,Stash & Co,1445 MERIVALE ROAD,Authorized to Open
NEPEAN,The Herbary,1121 MEADOWLANDS DR E UNIT E,Authorized to Open
